,Date,Model,Duration,PromoAmt,Forecast,Adj_Forecast,Adj_ForecastCY,Adj_ForecastNCY,Profit_Promo,Profit_NoPromo,incremental_Retail,PromoCost,incremental_Profit,Profitability,Retail,Retail_var1,Retail_var
0,2017-12-31,OUTLANDER 1000,7,1500,294,414.76,321.95,92.81,1544385.4,1071839.34,120.75999999999999,622140.0,-149593.94000000018,27268588.91,7797.76,1.0157301029047805,0.015730102904780514
0,2017-12-31,OUTLANDER 1000,8,1500,341,483.83,381.63,102.2,1807553.01,1248342.78,142.82999999999998,725745.0,-166534.77000000002,27251648.080000002,7819.83,1.0186049237983588,0.018604923798358732
0,2017-12-31,OUTLANDER 1000,9,1500,412,591.11,480.57,110.54,2222464.29,1520493.34,179.11,886665.0,-184694.05000000005,27233488.8,7856.11,1.0233307281490165,0.023330728149016544
0,2017-12-31,OUTLANDER 1000,10,1500,473,678.46,551.24,127.22,2550543.7600000002,1745313.37,205.46000000000004,1017690.0,-212459.60999999987,27205723.240000002,7882.46,1.0267630584863878,0.026763058486387915
0,2017-12-31,OUTLANDER 1000,11,1500,533,766.8800000000001,628.19,138.69,2887980.88,1971119.45,233.8800000000001,1150320.0,-233458.57000000007,27184724.28,7910.88,1.0304650254005472,0.030465025400547102
0,2017-12-31,OUTLANDER 1000,12,1500,617,891.4100000000001,738.1200000000001,153.29,3364757.1,2288628.4299999997,274.4100000000001,1337115.0,-260986.3299999996,27157196.520000003,7951.41,1.035744431418523,0.03574443141852287
0,2017-12-31,OUTLANDER 1000,13,1500,740,1076.66,907.7300000000001,168.93,4080000.32,2758975.6,336.6600000000001,1614990.0,-293965.28000000026,27124217.57,8013.66,1.043853067604533,0.04385306760453303
0,2017-12-31,OUTLANDER 1000,14,1500,808,1179.2300000000002,1001.9600000000002,177.27,4476334.359999999,3019293.52,371.23000000000025,1768845.0,-311804.1600000006,27106378.69,8048.2300000000005,1.0483561286961054,0.04835612869610528
0,2017-12-31,OUTLANDER 1000,15,1500,889,1301.16,1113.46,187.70000000000002,4946967.4799999995,3328914.08,412.1600000000001,1951740.0,-333686.60000000056,27084496.25,8089.16,1.0536876384004168,0.05368763840041684
0,2017-12-31,OUTLANDER 1000,1,1750,22,30.49,19.99,10.5,109905.44,76912.11,8.489999999999998,53357.5,-20364.17,27397818.68,7685.49,1.0011059007424774,0.0011059007424775301
